文番号,文字数,単語数,平均単語長,感情スコア
133,115,70,1.6428571428571428,0.2490139017413
134,56,43,1.255813953488372,0.12498319615557474
135,82,51,1.607843137254902,0.83851965064556
136,44,34,1.2941176470588236,0.03795015576682603
137,20,13,1.5384615384615385,0.2312097969624901
138,30,15,1.8666666666666667,0.606207595408974
139,59,41,1.4390243902439024,0.22400874994656272
140,135,92,1.4673913043478262,0.010925482194446667
141,14,10,1.4,0.24545990037845677
142,72,48,1.5,0.45646864942871834
143,99,73,1.356164383561644,0.8767311132389066
144,30,19,1.5789473684210527,0.6938183753856653
145,90,63,1.4285714285714286,0.8003518002855937
146,74,46,1.608695652173913,0.0019252485344921633
147,49,30,1.5666666666666667,0.014916049055033187
148,57,40,1.425,0.09081372551792499
149,12,9,1.3333333333333333,0.39649036561138595
150,52,36,1.4444444444444444,0.8158893593294878
151,112,77,1.4285714285714286,0.0002652468577966083
152,65,44,1.4772727272727273,0.690110030253341
153,23,16,1.4375,0.15886441969971987
154,29,24,1.2083333333333333,0.7395460982721334
155,44,28,1.5714285714285714,0.14362918353488918
156,38,24,1.5,0.036273342218162585
157,95,66,1.4393939393939394,0.008477100856024156
158,49,34,1.4411764705882353,0.053667878638066324
159,90,61,1.4754098360655739,0.00035435214482237853
160,71,56,1.2321428571428572,0.025271380590506487
161,27,19,1.4210526315789473,0.6821245686559089
162,41,29,1.4137931034482758,0.029043947659392444
163,58,43,1.3488372093023255,0.07557640720627223
164,25,20,1.25,0.1410969761284393
165,69,49,1.4081632653061225,0.3678049594424012
166,109,66,1.6515151515151516,0.9997106535388137
167,77,49,1.5714285714285714,0.8276335009628066
168,93,66,1.378787878787879,0.0646470885565047
169,154,111,1.3873873873873874,0.9395524053131102
170,109,74,1.472972972972973,0.4937984801330698
171,99,70,1.3857142857142857,0.004461361880869652
172,21,17,1.2352941176470589,0.12075013694111236
173,58,45,1.288888888888889,0.07008511446265342
174,32,26,1.2307692307692308,0.08740882586801224
175,18,16,1.125,0.04827150262081992
176,5,2,2.0,0.1837233963534416
177,6,5,1.2,0.44767845850986676
178,29,23,1.2608695652173914,0.8632686328805516
179,62,47,1.3191489361702127,0.060297141241815067
180,37,26,1.4230769230769231,0.008719968406979417
181,56,39,1.4102564102564104,0.020116517567343672
182,125,93,1.3440860215053763,0.02225310906898781
183,32,25,1.28,0.5821126351484657
184,38,29,1.3103448275862069,0.9281343379355687
185,23,16,1.4375,0.8098122580095761
186,17,12,1.25,0.7650441819993351
187,21,16,1.3125,0.09324218561562847
188,23,15,1.5333333333333334,0.8020729764029431
189,48,36,1.3333333333333333,0.19882696250690268
190,34,24,1.4166666666666667,0.05486379169411526
191,42,31,1.2903225806451613,0.8018810754919146
192,28,21,1.3333333333333333,0.0002017904966341577
193,39,30,1.3,0.23707541340699467
194,39,26,1.5,0.8299282552101389
195,40,30,1.3333333333333333,0.060764535885545645
196,25,18,1.3888888888888888,0.7163456031223162
197,122,88,1.3636363636363635,0.0015731850231084366
198,27,20,1.35,0.2538835160551507
199,14,9,1.5555555555555556,0.5331866435826496
200,85,58,1.4310344827586208,5.580709099950454e-05
201,6,5,1.2,0.44767845850986676
202,79,53,1.490566037735849,0.03873593674655673
203,31,23,1.3043478260869565,0.0019286257086628122
204,60,43,1.372093023255814,0.38998637986254536
205,76,52,1.4615384615384615,0.07833704224634286
206,40,34,1.1764705882352942,0.0023316726862319115
207,48,29,1.6551724137931034,0.3268768218923215
208,191,127,1.5039370078740157,0.0060644516317107655
209,28,20,1.35,0.6398952168679245
210,52,36,1.4166666666666667,0.13636441497868534
211,36,24,1.5,0.6229652182756279
212,59,39,1.5128205128205128,0.07198150574934514
213,53,36,1.4722222222222223,0.01040755930727788
214,27,18,1.5,0.15140039992629084
215,84,51,1.6470588235294117,0.00028756685163722207
216,121,76,1.5921052631578947,0.0002885425657322971
217,81,53,1.528301886792453,0.5218907115479027
218,53,35,1.457142857142857,0.015098545742368352
219,112,77,1.4545454545454546,0.028363949546237
220,126,76,1.631578947368421,0.2561424352885877
221,23,16,1.3125,0.6173143028299631
222,28,19,1.4736842105263157,0.352458551980368
223,23,18,1.2777777777777777,0.015670825234890162
224,95,62,1.532258064516129,0.00904211858304882
225,43,33,1.303030303030303,0.39038293879980557
226,25,20,1.25,0.02234189565673783
227,36,25,1.44,0.34760677894932035
228,18,11,1.6363636363636365,0.7909051231165973
229,15,11,1.2727272727272727,0.32678320531442884
230,94,72,1.2777777777777777,3.031384047347263e-05
231,36,23,1.565217391304348,0.745383749921469
232,18,13,1.3846153846153846,0.04416400301326329
233,67,45,1.4444444444444444,0.00019551480316182257
234,41,28,1.4642857142857142,0.009002251306241438
235,120,86,1.3953488372093024,0.004021106948060349
236,71,41,1.7073170731707317,0.07389732706307439
237,76,54,1.4074074074074074,0.0055967762711804925
238,140,102,1.3725490196078431,5.192734001335797e-05
239,70,45,1.5555555555555556,0.009412719093583877
240,86,58,1.4827586206896552,0.00028776772303795717
241,54,39,1.358974358974359,0.0009498679067677651
242,47,31,1.4838709677419355,0.45161511562405
243,7,4,1.5,0.5
244,38,26,1.4615384615384615,0.08854410215028552
245,46,32,1.4375,0.9814534427044793
246,61,41,1.4878048780487805,0.023171528943999764
247,29,21,1.3333333333333333,0.9773975199142002
248,50,34,1.4411764705882353,0.9468998274217417
249,9,8,1.125,0.1818964550779616
250,10,7,1.4285714285714286,0.44767845850986676
251,11,8,1.375,0.7112191732739981
252,86,64,1.328125,0.01746578116199926
253,40,27,1.4444444444444444,0.29474979194759865
254,83,52,1.5961538461538463,0.0022309185152007416
255,26,18,1.4444444444444444,0.9275515987776681
256,48,35,1.3428571428571427,0.04415151891940683
257,111,81,1.3703703703703705,0.28338788992391273
258,27,18,1.5,0.8043639405960197
259,82,54,1.4814814814814814,0.08796267668789493
260,16,10,1.5,0.17717803139417676
261,35,26,1.3461538461538463,0.9469726397312045
262,17,11,1.5454545454545454,0.5108434300870485
263,43,26,1.6153846153846154,0.010693143891967183
264,16,11,1.4545454545454546,0.8939709823713335
265,31,24,1.2916666666666667,0.0164232352112178
266,33,23,1.3478260869565217,0.0948686610610534
267,87,61,1.4262295081967213,0.8035654174532573
268,24,15,1.5333333333333334,0.6150949214663082
269,32,25,1.28,0.04207936409581947
270,46,27,1.6666666666666667,0.33129061359653944
271,118,86,1.372093023255814,0.00576714831651326
272,15,10,1.5,0.16678601086611056
273,78,49,1.5714285714285714,0.002187623937606409
274,13,8,1.625,0.06109396923070465
275,67,42,1.5476190476190477,0.8747264607360834
276,39,29,1.3448275862068966,0.02235126029276313
277,44,33,1.3333333333333333,0.10734946372757936
278,28,17,1.6470588235294117,0.07061330522608833
279,10,6,1.5,0.5
280,41,22,1.8636363636363635,0.8780871508742403
281,15,10,1.5,0.6864403227850091
282,93,54,1.7222222222222223,0.12105388879832535
283,43,27,1.5925925925925926,0.2832185474197998
284,17,12,1.4166666666666667,0.8184931083703656
285,57,45,1.2666666666666666,0.10599873761876133
286,94,68,1.3823529411764706,0.8726385387314851
287,40,28,1.4285714285714286,0.5803712857131601
288,18,10,1.7,0.39649036561138595
289,19,12,1.5833333333333333,0.9317441053255552
290,10,6,1.6666666666666667,0.65757390997123
291,22,14,1.5714285714285714,0.8744430796894577
292,8,7,1.1428571428571428,0.3537114131661251
293,55,39,1.3846153846153846,0.5100512840927997
294,16,8,1.875,0.31842119733089536
295,71,46,1.5434782608695652,0.3853386293358352
296,34,23,1.4782608695652173,0.7279550763061897
297,23,13,1.7692307692307692,0.20804594997050563
298,37,25,1.48,0.1781537065561941
299,56,44,1.2272727272727273,0.014986429135954049
300,43,25,1.68,0.1414722803767522
301,148,107,1.3644859813084111,0.03267874924709213
302,145,106,1.349056603773585,0.0030841158808200264
303,38,25,1.48,0.8652101725601312
304,5,4,1.0,0.5
305,27,22,1.2272727272727273,0.058240621022858874
306,14,11,1.1818181818181819,0.7085923308003611
307,90,57,1.5789473684210527,0.002524328336045878
308,64,44,1.4545454545454546,0.1819301934788513
309,30,20,1.4,0.4724829269651837
310,64,48,1.3333333333333333,0.030361715201444373
311,69,41,1.6585365853658536,0.08384418858707776
312,46,36,1.2777777777777777,0.2941902477894003
313,44,31,1.4193548387096775,0.175854542673883
314,32,22,1.4545454545454546,0.09918962437970413
315,31,22,1.4090909090909092,0.09042313784764644
316,11,6,1.8333333333333333,0.5972269499506038
317,24,16,1.375,0.2622292909411589
318,128,81,1.5802469135802468,0.7076768630163434
319,120,77,1.5584415584415585,0.008688256795547522
320,27,15,1.6666666666666667,0.8234377722108346
321,40,26,1.5384615384615385,0.0041972195261562595
322,42,28,1.5,0.0151631144331561
323,42,24,1.75,0.022049583734889855
324,46,35,1.2571428571428571,0.2298027130548963
325,26,19,1.368421052631579,0.11479333252404411
