文番号,文字数,単語数,平均単語長,主成分1,主成分2
56,51,33,1.5454545454545454,0.043620446397699665,0.10298553714056152
57,23,14,1.6428571428571428,-1.0616809812137191,0.5331318235138208
58,51,34,1.5,0.10293798255516272,-0.15475337594474026
59,49,32,1.53125,-0.01071257919562814,0.013534265719425195
60,72,50,1.44,0.9712291250442514,-0.3999211658271304
61,76,51,1.4901960784313726,1.0370612061257218,-0.09835855166534598
62,17,12,1.4166666666666667,-1.0691655263923527,-0.7812720426199048
63,29,23,1.2608695652173914,-0.4370021859620398,-1.6117443281751918
64,44,32,1.375,0.006695163679748399,-0.8949762932804748
65,29,18,1.5,-0.7418483151083757,-0.2553737734887665
66,10,7,1.4285714285714286,-1.3437378273755878,-0.7451898323009677
67,31,17,1.8235294117647056,-0.9582687540606796,1.5961288002931147
68,19,14,1.3571428571428572,-0.9358233171902662,-1.1109279781195924
69,20,13,1.5384615384615383,-1.071482222249588,-0.0744183268344206
70,25,16,1.5625,-0.9138291370475209,0.08457293466164373
71,46,35,1.3142857142857145,0.1685266456610018,-1.2297409708464067
72,27,18,1.5,-0.7784141228505616,-0.26206913703125667
73,53,35,1.5142857142857142,0.1572144771031758,-0.06483884626378907
74,10,7,1.4285714285714286,-1.3437378273755878,-0.7451898323009677
75,24,13,1.8461538461538465,-1.212646753927489,1.6950775574565673
76,13,8,1.625,-1.3980340946427194,0.38762391417585523
77,13,8,1.625,-1.3980340946427194,0.38762391417585523
78,10,8,1.25,-1.1917093769019789,-1.7626722914826993
79,17,10,1.7,-1.3218168634667153,0.8324366981518786
80,17,10,1.7,-1.3218168634667153,0.8324366981518786
81,20,13,1.5384615384615383,-1.071482222249588,-0.0744183268344206
82,16,10,1.6,-1.2704535195100695,0.25835484028868233
83,28,18,1.5555555555555556,-0.7988235788837679,0.058353087013295064
84,57,33,1.7272727272727273,0.02668832811927835,1.1607701297533992
85,39,23,1.608695652173913,-0.49642096578237455,0.406894841161439
86,31,23,1.3478260869565215,-0.4609983328526698,-1.1087583767266578
87,44,29,1.5172413793103448,-0.17535107221198284,-0.08821326624486973
88,44,29,1.5172413793103448,-0.17535107221198284,-0.08821326624486973
89,27,20,1.35,-0.6186244495465172,-1.1147989763471045
90,25,17,1.4705882352941178,-0.822155890836396,-0.43831320595300693
91,43,25,1.72,-0.44548835066557063,1.0589089455882357
92,60,43,1.3953488372093024,0.5893110826177836,-0.7067327800283131
93,53,35,1.5142857142857142,0.1572144771031758,-0.06483884626378907
94,45,33,1.3636363636363635,0.060552564676120975,-0.9547990554722762
95,86,64,1.34375,1.6814664037108071,-0.8787852917636473
96,57,39,1.4615384615384617,0.377723178083096,-0.34575186791282136
97,41,27,1.5185185185185186,-0.2864095649257284,-0.09433866644336601
98,35,19,1.8421052631578947,-0.8427542205112842,1.718909684601157
99,57,36,1.5277777777777777,0.24860952739200776,0.027241410641462228
100,47,32,1.46875,-0.0037494820454775225,-0.34986995788053477
101,66,44,1.5,0.6537830484337406,-0.08768102526566747
102,47,26,1.8076923076923077,-0.40577098634122805,1.5744753548879669
103,50,35,1.4285714285714286,0.16206254934224412,-0.564082613942054
104,40,28,1.4285714285714286,-0.2143875448372138,-0.6093594185317823
105,58,41,1.4146341463414631,0.4839934791206309,-0.6067317182106586
106,28,23,1.2173913043478262,-0.42500411251672465,-1.8632373038994592
107,48,33,1.4545454545454546,0.05208650553691022,-0.4259067591658566
108,93,67,1.388059701492537,1.8615671386388895,-0.597403772389578
109,13,7,1.8571428571428572,-1.5873730350240454,1.7108568248354183
